seed,metareasoning_think_rate,metareasoning_never_utility,cond_000_utility,cond_000_regret,cond_000_obs_brier,cond_000_final_brier,cond_000_cat_exposure,cond_000_risky_rate,cond_001_utility,cond_001_regret,cond_001_obs_brier,cond_001_final_brier,cond_001_cat_exposure,cond_001_risky_rate,cond_010_utility,cond_010_regret,cond_010_obs_brier,cond_010_final_brier,cond_010_cat_exposure,cond_010_risky_rate,cond_011_utility,cond_011_regret,cond_011_obs_brier,cond_011_final_brier,cond_011_cat_exposure,cond_011_risky_rate,cond_100_utility,cond_100_regret,cond_100_obs_brier,cond_100_final_brier,cond_100_cat_exposure,cond_100_risky_rate,cond_101_utility,cond_101_regret,cond_101_obs_brier,cond_101_final_brier,cond_101_cat_exposure,cond_101_risky_rate,cond_110_utility,cond_110_regret,cond_110_obs_brier,cond_110_final_brier,cond_110_cat_exposure,cond_110_risky_rate,cond_111_utility,cond_111_regret,cond_111_obs_brier,cond_111_final_brier,cond_111_cat_exposure,cond_111_risky_rate
95001,0.2272,3.920527495323697,1.8382836016023605,2.1429682110542627,0.059182666010985305,0.059182666010985305,0.028007733667614637,0.4166,2.7162385752308187,1.2429929332303924,0.056436529130438284,0.056436529130438284,0.01095491255307297,0.163,1.9012244317365847,2.105542859474585,0.059215941726326854,0.059215941726326854,0.02832208522974828,0.4276,2.7780256561165038,1.2519778715082654,0.05980741263157819,0.05980741263157819,0.010741571023773957,0.1632,3.1102823287603725,0.8540158408456114,0.020320593430152557,0.020320593430152557,0.022046492708051285,0.4364,3.8982973022777494,0.11184255132340531,0.018505107994443607,0.018505107994443607,0.010104654095066177,0.2624,3.8348853426751477,0.2247613455124918,0.019302416620971,0.00018093157546432518,0.01709190350460784,0.3622,4.042695043808599,0.001736601915760166,0.018969417539381094,0.00018022628450937086,0.009949337794368799,0.248
95102,0.23,3.9654743058627857,2.001763046370716,2.0836716242906115,0.06007754455162259,0.06007754455162259,0.028732114052233488,0.4366,2.7067704446439307,1.3809746424314422,0.0597181038110195,0.0597181038110195,0.012501466946658126,0.1868,1.9514604838643528,2.1103557001605724,0.05979553547519445,0.05979553547519445,0.028414417319532252,0.4314,2.7422856524478125,1.3000665880738178,0.05729880904186844,0.05729880904186844,0.012363073150624175,0.1844,3.266662879760615,0.8063197978391158,0.017468103031626235,0.017468103031626235,0.02260233023126559,0.4448,4.029200389824387,0.09780153301931097,0.016495535655461933,0.016495535655461933,0.010904047529377143,0.2798,3.8162375893693765,0.24964179806868483,0.01709132144627231,0.0007754856827452709,0.017663424055873716,0.364,4.066230639461827,0.007419239582127721,0.016093540921760706,0.0007584319206991704,0.010087196330589559,0.2472
95203,0.2334,3.796306386900284,1.8460586615153107,2.120828156624567,0.057597953375322274,0.057597953375322274,0.027169680322860587,0.4066,2.837998468827071,1.1285672403518758,0.05571564619256381,0.05571564619256381,0.00795481628416442,0.1198,1.84229215902176,2.1618960434858927,0.059311615826179415,0.059311615826179415,0.026998374446627678,0.4086,2.7985692288671444,1.1781117408865363,0.05741276871739674,0.05741276871739674,0.008123156505130895,0.1232,3.225064985268899,0.7788919986721197,0.020695833564501012,0.020695833564501012,0.020800329250374835,0.4478,3.818111550644194,0.19265112263751874,0.019903241571691554,0.019903241571691554,0.010403362012494689,0.2834,3.7015184107795314,0.24860431855299467,0.020732590726245514,0.00018134118324148206,0.01655834418325703,0.3582,3.9961656412531266,0.001948929765221397,0.01923195340506858,0.00018137838258280829,0.009481941229464445,0.2416
95304,0.2306,3.9582837106375375,1.9785968227074917,2.0427798109482644,0.05822836172533505,0.05822836172533505,0.02792011742201666,0.4238,2.70552992519149,1.3674898237441397,0.05980756875483716,0.05980756875483716,0.01447030287095713,0.2194,1.97384714866912,2.079210824824606,0.05851718047804257,0.05851718047804257,0.029183942186106242,0.4426,2.6844627101413834,1.3922453604318936,0.05994961359376231,0.05994961359376231,0.014625643468791256,0.2196,3.0495115028431385,0.9866046993609722,0.020487730136651082,0.020487730136651082,0.024509481015938035,0.4572,3.940361463105217,0.0856872087283177,0.02067937638448358,0.02067937638448358,0.01098632354503101,0.2672,3.786861264407562,0.2685116477035755,0.01961305951408135,0.0017683512645310841,0.01765152305816661,0.3586,4.061352478426487,0.011688046000234412,0.019437961139345757,0.0017788814098024033,0.010239079353901585,0.247
95405,0.2182,3.887528370199379,1.998278008940482,1.9800124907593242,0.05554478509454164,0.05554478509454164,0.02728665207889114,0.4128,2.75530308975492,1.2546096493952872,0.05549950072996937,0.05549950072996937,0.011754464359248215,0.1778,2.0907253519247866,1.9377071909770494,0.05394671447371851,0.05394671447371851,0.027859953762950026,0.427,2.7078660417677543,1.3066516900160412,0.05840974031696555,0.05840974031696555,0.012232159093468682,0.1834,3.1577120285194584,0.8737091704716249,0.01837585343385099,0.01837585343385099,0.023245501109766867,0.4666,3.8305301314354248,0.14710293163300747,0.01896135106247396,0.01896135106247396,0.01092093855708543,0.2792,3.721066394275222,0.2820574093837964,0.0180358690298401,0.00023012874783809564,0.01768368221513416,0.3686,4.038757664909944,0.0011870869382611215,0.01899479980716579,0.00023019172554538541,0.010399421430600905,0.2598
95506,0.2326,3.860435239320033,1.7866461646211853,2.2361131954790974,0.062552335491837,0.062552335491837,0.027175475542273723,0.4126,2.852643507847759,1.1432991982103573,0.05898378054139659,0.05898378054139659,0.00808611271726321,0.1268,1.9218947497377856,2.1104017381540987,0.05945517029303753,0.05945517029303753,0.026370891850465535,0.407,2.7571776457285746,1.2642921972081504,0.05943520994706231,0.05943520994706231,0.008541978429813113,0.1298,3.1505296341938585,0.8241069747929538,0.019442009726688646,0.019442009726688646,0.021376838185909706,0.4444,3.827083022726074,0.15819636300198225,0.021136338895327324,0.021136338895327324,0.00974110351160713,0.265,3.8232606347451727,0.22579257604342093,0.021506960849479725,0.00017487687917328677,0.01656073522283509,0.36,3.956381862957067,0.0021481641737906136,0.021254563877729556,0.00018399886461688945,0.00901418749568671,0.2306
95607,0.235,3.8931725123405836,2.006868306950311,2.1248797238507233,0.06327948625203306,0.06327948625203306,0.02788271790245555,0.4278,2.7365588994303365,1.3249604293036281,0.06471006316938026,0.06471006316938026,0.011795607658191768,0.1804,1.9106291716256019,2.197282089365888,0.06538990890372523,0.06538990890372523,0.028586565276228607,0.4372,2.6969627960495686,1.395273611765098,0.06661781829645486,0.06661781829645486,0.012520382549928204,0.1916,3.205910884817961,0.8592905684918125,0.020437279054456466,0.020437279054456466,0.02285190250150606,0.463,3.939036600005679,0.1419872062020307,0.020876144836109535,0.020876144836109535,0.011576026870847028,0.2948,3.8580274756714803,0.23544190166840845,0.021162445501419047,0.00022571058882381076,0.017842041867735667,0.376,4.067562696086586,0.002685207892207555,0.02027650589331645,0.0002260761159473339,0.010634768531258929,0.259
95708,0.2296,3.998031952749776,1.7477473514971913,2.306467070154149,0.06975980012691631,0.06975980012691631,0.02822949010554581,0.4184,2.7434707013588913,1.37770872163042,0.06571108877118957,0.06571108877118957,0.010266117646819985,0.1546,1.9326883404885589,2.1418963067687855,0.06576077866800036,0.06576077866800036,0.027032864102103538,0.408,2.6644719079659183,1.4068422042392235,0.07145082809312708,0.07145082809312708,0.010171556784821144,0.1504,3.431592408918578,0.7419142576709701,0.01779849595079879,0.01779849595079879,0.021438825904311214,0.4578,3.9571058494157043,0.158649695198369,0.016380353323919995,0.016380353323919995,0.011634312541017405,0.2994,3.9281092565725593,0.2049702916677001,0.01832350525582151,0.0003726133331097365,0.017037711201984506,0.3708,4.088960891480071,0.0021359825562897697,0.01702502594411376,0.000391664117948289,0.010693936126942668,0.2628
95809,0.2066,3.8223026282936097,1.9664906143473389,2.0202533577621136,0.05631370348515794,0.05631370348515794,0.02684990857193744,0.4068,2.8451938310685216,1.1599709168933083,0.055066188693765915,0.055066188693765915,0.010780511050874478,0.1686,1.9024447899788393,2.0982591816762928,0.05676568407435147,0.05676568407435147,0.028542475652819446,0.4304,2.670250630738557,1.2993119678557974,0.05727248327570703,0.05727248327570703,0.011803118052596583,0.1766,3.141415987306664,0.8403139283319586,0.01995751151853859,0.01995751151853859,0.02204532809596965,0.45,3.812488215395964,0.1796880450921697,0.019551353041024008,0.019551353041024008,0.011825750801416455,0.2946,3.7518033864845415,0.2738313562316555,0.022066921622700058,0.0014378716824916986,0.01735906006773909,0.3712,4.02086997615499,0.009707845382652309,0.020463655517000877,0.0014706344697365448,0.010381683605638441,0.2618
95910,0.275,3.763501790490645,1.9827953225395039,2.0744320376407184,0.06088078133370337,0.06088078133370337,0.02571340242822803,0.3912,2.7591339898878164,1.251220307852473,0.06076397678654478,0.06076397678654478,0.007460976670392723,0.1102,1.8867302105963077,2.14352072249411,0.05926073678117459,0.05926073678117459,0.02679682073607334,0.4062,2.8250071583369394,1.182390323230205,0.05869702467699602,0.05869702467699602,0.0069862107165521575,0.105,3.213591051762409,0.7711805760558585,0.02046882022310689,0.02046882022310689,0.021095559620542784,0.4404,3.8267235762474323,0.2112464819141323,0.020799187795134587,0.020799187795134587,0.009827783475553487,0.2734,3.8234611593254084,0.20158234976579006,0.020746200295037646,0.0005145858516701796,0.015932813513731114,0.3476,4.0049268733783565,0.003852482647339592,0.019727139503323065,0.0005027055879632673,0.009175289786920967,0.241
