seed,hypothesis,treatment,control,difference
991001,A1_observation_ablation,3.877958039432542,2.887515076578327,0.9904429628542153
991001,A2_eac_ablation,3.877958039432542,3.6176378347101825,0.2603202047223596
991001,A3_dqu_ablation,3.877958039432542,3.737663529554996,0.14029450987754633
991001,A4_full_vs_best_two_stage,3.877958039432542,3.737663529554996,0.14029450987754633
991001,A5_owge_eac_interaction,0.2603202047223596,0.060848374484137935,0.19947183023822168
991001,A6_adaptive_thought_budget,3.658418534027841,3.4955605674432952,0.16285796658454554
991103,A1_observation_ablation,4.105275546336024,2.6405162754956684,1.4647592708403558
991103,A2_eac_ablation,4.105275546336024,3.933542259272705,0.17173328706331903
991103,A3_dqu_ablation,4.105275546336024,3.8974617067217343,0.2078138396142899
991103,A4_full_vs_best_two_stage,4.105275546336024,3.933542259272705,0.17173328706331903
991103,A5_owge_eac_interaction,0.17173328706331903,0.42397296987351574,-0.2522396828101967
991103,A6_adaptive_thought_budget,4.180298185406488,4.016199114102543,0.1640990713039452
991211,A1_observation_ablation,4.291387613661504,2.944889540980871,1.346498072680633
991211,A2_eac_ablation,4.291387613661504,3.8196175192319353,0.47177009442956885
991211,A3_dqu_ablation,4.291387613661504,4.166344646939455,0.12504296672204873
991211,A4_full_vs_best_two_stage,4.291387613661504,4.166344646939455,0.12504296672204873
991211,A5_owge_eac_interaction,0.47177009442956885,0.011439480157801274,0.4603306142717676
991211,A6_adaptive_thought_budget,4.1485265396257365,3.990489607270396,0.15803693235534055
